repo_completo,numero_pr,titulo,autora,status,url,criado_em,merged_em,closed_em,changed_files,additions,deletions,loc_total,tempo_analise_horas,tempo_analise_dias,descricao_tamanho_chars,total_comentarios,numero_reviews,num_participantes
codecrafters-io/build-your-own-x,1621,Fix Typos and Improve Formatting in README.md,yeshuawm999,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/1621,2025-11-22T13:44:27Z,,2026-02-21T09:22:10Z,4,119,425,544,2179.6286,90.8179,436,1,1,3
codecrafters-io/build-your-own-x,1639,Add Code a database in 45 steps,byo-books,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/1639,2025-12-25T08:40:55Z,2025-12-26T19:40:39Z,2025-12-26T19:40:39Z,1,2,1,3,34.9956,1.4581,0,1,1,3
codecrafters-io/build-your-own-x,905,added a video of making web browser in python,TheRealNightmare,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/905,2023-05-29T19:44:24Z,,2025-12-29T18:04:35Z,1,1,0,1,22678.3364,944.9307,58,0,1,2
codecrafters-io/build-your-own-x,1618,"docs: fix typos, formatting issues, and markdown spacing in README",Born-as-Harsha,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/1618,2025-11-19T17:22:48Z,,2025-12-21T05:22:23Z,1,9,8,17,755.9931,31.4997,624,3,1,2
codecrafters-io/build-your-own-x,1517,Update README.md,rv-patel-0131,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/1517,2025-07-24T11:30:42Z,,2025-07-25T12:16:23Z,1,0,5,5,24.7614,1.0317,298,4,1,3
codecrafters-io/build-your-own-x,373,Microcontrollers - Design and Implementation added,prp-e,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/373,2019-09-12T16:41:30Z,,2025-10-02T09:15:48Z,0,0,0,0,53080.5717,2211.6905,403,0,1,2
codecrafters-io/build-your-own-x,1503,my life partner,JohnDaWalka,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/1503,2025-07-05T21:34:07Z,,2025-07-09T19:03:36Z,2,117,0,117,93.4914,3.8955,0,4,1,4
codecrafters-io/build-your-own-x,688,"Fixed links, added tutorials, added categories",thereal-atom,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/688,2021-12-12T15:33:16Z,,2025-08-22T20:40:55Z,1,131,23,154,32381.1275,1349.2136,223,0,1,2
codecrafters-io/build-your-own-x,1434,Add link to Build your own TanStack Query,mugglim,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/1434,2025-05-17T15:18:23Z,,2025-08-10T07:18:14Z,1,1,0,1,2031.9975,84.6666,482,3,1,1
codecrafters-io/build-your-own-x,892,Add: Build your own - Adblocker,9bany,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/892,2023-05-09T01:19:09Z,2023-05-09T09:01:40Z,2023-05-09T09:01:41Z,1,1,0,1,7.7086,0.3212,156,1,2,3
codecrafters-io/build-your-own-x,1419,YourWorld,desirelovellcom,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/1419,2025-04-18T22:28:07Z,,2025-05-27T03:49:00Z,1,18,1,19,917.3481,38.2228,511,4,2,3
codecrafters-io/build-your-own-x,1414,Add a new tutorial for zig.,maysara-elshewehy,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/1414,2025-04-11T18:01:29Z,2025-04-11T19:13:28Z,2025-04-11T19:13:28Z,1,1,0,1,1.1997,0.05,512,1,1,2
codecrafters-io/build-your-own-x,1406,Patch 1,,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/1406,2025-04-05T19:31:19Z,,2025-04-06T15:03:04Z,2,1,0,1,19.5292,0.8137,259,1,1,1
codecrafters-io/build-your-own-x,1396,add a new operating system tutorial,sudonam,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/1396,2025-03-28T11:52:40Z,,2025-03-28T13:35:04Z,1,1,0,1,1.7067,0.0711,353,1,1,1
codecrafters-io/build-your-own-x,1325,Update README.md,Parag479,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/1325,2025-02-04T11:09:30Z,,2025-03-04T12:22:31Z,1,1,1,2,673.2169,28.0507,339,2,1,3
codecrafters-io/build-your-own-x,948,Update README.md,tmsagarofficial,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/948,2023-10-25T04:24:07Z,,2025-02-05T17:34:00Z,1,3,3,6,11269.1647,469.5485,31,1,1,2
codecrafters-io/build-your-own-x,751,Add tutorial for building a Rust Text Editor.,guuzaa,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/751,2022-06-18T01:56:48Z,2022-08-04T11:23:29Z,2022-08-04T11:23:29Z,1,1,0,1,1137.4447,47.3935,57,1,1,3
codecrafters-io/build-your-own-x,1293,Update README.md,bryankeating10,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/1293,2024-12-05T01:45:54Z,,2025-01-23T00:33:38Z,1,1,1,2,1174.7956,48.9498,34,0,2,3
codecrafters-io/build-your-own-x,1084,feat: added how to build a cli app with node 2024 guide,gomzkov,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/1084,2024-06-29T08:23:12Z,,2024-09-13T13:41:27Z,1,1,0,1,1829.3042,76.221,143,1,1,2
codecrafters-io/build-your-own-x,349,Added a tutorial: Lest's build a NodeJS micro framework,evanxg852000,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/349,2019-04-13T12:06:48Z,,2024-07-25T17:59:41Z,1,1,0,1,46325.8814,1930.2451,172,1,1,2
codecrafters-io/build-your-own-x,1060,fix: fixed broken link from list,davayd,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/1060,2024-06-05T21:00:45Z,2024-06-12T21:49:32Z,2024-06-12T21:49:32Z,1,1,1,2,168.8131,7.0339,13,2,3,6
codecrafters-io/build-your-own-x,797,Update README.md,josephwhittington,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/797,2022-08-16T14:14:12Z,,2024-05-25T15:36:32Z,1,1,0,1,15553.3722,648.0572,70,0,1,2
codecrafters-io/build-your-own-x,1030,added python commandline tool,zpratikpathak,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/1030,2024-04-12T03:57:56Z,,2024-04-14T10:53:53Z,1,2,0,2,54.9325,2.2889,93,0,2,2
codecrafters-io/build-your-own-x,512,Fix a broken link with archive,jgradio64,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/512,2020-07-27T02:13:06Z,,2024-02-12T22:30:30Z,1,2,2,4,31100.29,1295.8454,0,0,1,2
codecrafters-io/build-your-own-x,961,new pull request,Chicago2219,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/961,2023-11-23T18:00:26Z,,2023-11-24T11:55:09Z,1,1,0,1,17.9119,0.7463,0,0,1,3
codecrafters-io/build-your-own-x,934,Fix: Replaced a broken link with alternative from smashingmagazine.com,carb1d3,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/934,2023-09-30T06:56:25Z,2023-10-26T20:04:50Z,2023-10-26T20:04:50Z,1,1,1,2,637.1403,26.5475,144,0,1,3
codecrafters-io/build-your-own-x,944,Update README.md,AaadityaG,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/944,2023-10-11T11:40:19Z,,2023-10-16T17:13:38Z,1,1,0,1,125.5553,5.2315,14,0,1,2
codecrafters-io/build-your-own-x,870,Add quote information,CodeMaster7000,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/870,2023-03-26T10:00:21Z,,2023-10-16T15:00:21Z,1,1,1,2,4901.0,204.2083,0,1,1,3
codecrafters-io/build-your-own-x,425,Add Write your own Excel in 100 lines of F#,avestura,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/425,2020-02-07T13:37:24Z,,2023-07-30T08:45:16Z,1,1,0,1,30451.1311,1268.7971,0,1,1,2
codecrafters-io/build-your-own-x,514,Update readme,Marcosultymos,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/514,2020-08-02T21:17:08Z,,2023-07-16T16:00:52Z,1,1,0,1,25866.7289,1077.7804,173,0,1,2
codecrafters-io/build-your-own-x,748,Added tutorial for building a basic Rust CLI app,wanderingeek,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/748,2022-06-17T12:00:53Z,,2023-07-04T13:04:41Z,1,1,0,1,9169.0633,382.0443,83,1,4,5
codecrafters-io/build-your-own-x,893,add Build your own VPN/Virtual Switch,peiyuanix,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/893,2023-05-09T09:03:51Z,2023-05-10T00:26:40Z,2023-05-10T00:26:40Z,1,1,0,1,15.3803,0.6408,114,0,3,2
codecrafters-io/build-your-own-x,802,add python slack bot,abe-101,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/802,2022-09-02T02:55:49Z,,2023-03-02T06:23:48Z,1,1,0,1,4347.4664,181.1444,137,0,3,4
codecrafters-io/build-your-own-x,855,Add KV store,dineshgowda24,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/855,2023-02-14T19:48:30Z,2023-02-16T11:17:42Z,2023-02-16T11:17:42Z,1,1,0,1,39.4867,1.6453,48,1,2,2
codecrafters-io/build-your-own-x,551,Add Ray Tracing in One Weekend,paralysedforce,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/551,2020-11-17T02:38:14Z,2023-01-31T07:44:39Z,2023-01-31T07:44:39Z,1,1,0,1,19325.1069,805.2128,192,0,2,3
codecrafters-io/build-your-own-x,542,"Add link to ""ugit: Building Git Yourself""",nikital,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/542,2020-10-11T11:29:49Z,2023-01-31T07:38:01Z,2023-01-31T07:38:01Z,1,1,0,1,20204.1367,841.839,758,0,1,3
codecrafters-io/build-your-own-x,404,Add an article about monadic parser combinators in C#,Tyrrrz,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/404,2019-11-10T21:06:49Z,,2022-11-28T09:34:36Z,1,1,0,1,26724.4631,1113.5193,0,0,1,2
codecrafters-io/build-your-own-x,795,New 2D game development with JavaScript added,castroitalo,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/795,2022-08-15T01:52:46Z,,2022-11-08T10:10:48Z,1,1,0,1,2048.3006,85.3459,82,0,1,2
codecrafters-io/build-your-own-x,809,Add Create Your Own CLI Tool with NodeJS,yairhaimo,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/809,2022-10-05T17:56:03Z,2022-10-09T10:17:49Z,2022-10-09T10:17:49Z,1,1,0,1,88.3628,3.6818,12,1,1,4
codecrafters-io/build-your-own-x,775,Update Games With Go unavailable link,aasisodiya,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/775,2022-07-16T11:43:47Z,2022-07-20T14:00:56Z,2022-07-20T14:00:56Z,1,1,1,2,98.2858,4.0952,243,1,1,3
codecrafters-io/build-your-own-x,678,added cryptoCurreny miner and dockerize tuturial,yigitkader,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/678,2021-11-17T20:04:08Z,,2022-07-18T13:41:33Z,1,1,0,1,5825.6236,242.7343,68,1,1,3
codecrafters-io/build-your-own-x,696,Emphasize JavaScript's Regex Implementation Topic,joaorlima,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/696,2022-02-13T17:59:19Z,2022-02-16T14:06:28Z,2022-02-16T14:06:28Z,1,1,1,2,68.1192,2.8383,336,1,1,3
codecrafters-io/build-your-own-x,536,Add Test Collision With Separating Axis Theorem in JavaScript,EduardoJM,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/536,2020-10-03T19:26:47Z,,2021-12-02T14:21:40Z,1,1,0,1,10194.9147,424.7881,11,0,1,2
codecrafters-io/build-your-own-x,674,chore: remove reverse engineering react unavailable resourse,erfanansari,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/674,2021-11-05T16:13:59Z,2021-11-30T08:41:01Z,2021-11-30T08:41:01Z,1,0,1,1,592.4506,24.6854,0,0,1,3
codecrafters-io/build-your-own-x,634,Add a tutorial about writing a Tetris game.,bobeff,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/634,2021-06-16T14:11:33Z,,2021-08-29T15:42:17Z,1,1,0,1,1777.5122,74.063,60,0,1,2
codecrafters-io/build-your-own-x,380,Add 'Twitter Bot Tutorial-Node.js and Processing',dev7060,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/380,2019-10-06T15:01:26Z,,2020-10-30T19:20:29Z,1,1,0,1,9364.3175,390.1799,0,1,1,3
codecrafters-io/build-your-own-x,534,Add Web App Server in Golang,12mohaned,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/534,2020-10-01T12:55:06Z,,2020-10-25T18:24:41Z,1,3,3,6,581.4931,24.2289,151,0,1,3
codecrafters-io/build-your-own-x,343,Add Build your own Front-end Framework re-implement react fiber,tranbathanhtung,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/343,2019-03-27T02:34:20Z,,2019-10-07T02:28:58Z,1,1,0,1,4655.9106,193.9963,0,1,1,3
codecrafters-io/build-your-own-x,211,"Found a Web site hosting these tutorials, want to add a link",chaitanyathengdi,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/211,2018-06-24T09:09:39Z,,2018-06-29T10:33:16Z,1,2,0,2,121.3936,5.0581,367,1,1,3
codecrafters-io/build-your-own-x,137,Added a New Category : Text Editor,bauripalash,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/137,2018-05-24T05:49:20Z,2018-05-24T09:21:06Z,2018-05-24T09:21:06Z,1,9,1,10,3.5294,0.1471,108,1,1,3
codecrafters-io/build-your-own-x,59,added 'Build your own CI server' title & one item,lotharschulz,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/59,2018-05-14T14:37:35Z,2018-05-15T13:35:32Z,2018-05-15T13:35:32Z,1,1,0,1,22.9658,0.9569,74,1,3,2
codecrafters-io/build-your-own-x,63,Update README.md,kopylovvlad,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/63,2018-05-14T17:30:12Z,2018-05-14T18:55:00Z,2018-05-14T18:55:00Z,1,2,1,3,1.4133,0.0589,19,1,2,2
codecrafters-io/build-your-own-x,35,"Add ""Build your own Window Manager""",toolboc,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/35,2018-05-13T14:44:31Z,2018-05-14T06:51:54Z,2018-05-14T06:51:54Z,1,1,0,1,16.1231,0.6718,0,1,1,2
codecrafters-io/build-your-own-x,16,Add: Generate SVG images in C,jserv,CLOSED,https://github.com/codecrafters-io/build-your-own-x/pull/16,2018-05-12T08:21:04Z,,2018-05-13T10:53:26Z,1,1,0,1,26.5394,1.1058,0,1,1,2
codecrafters-io/build-your-own-x,10,readme: Add my tutorial on shell,indradhanush,MERGED,https://github.com/codecrafters-io/build-your-own-x/pull/10,2018-05-11T10:08:57Z,2018-05-12T07:55:36Z,2018-05-12T07:55:36Z,1,1,0,1,21.7775,0.9074,193,1,3,2
sindresorhus/awesome,1269,Add flat badges to gh-pages branch,bokub,MERGED,https://github.com/sindresorhus/awesome/pull/1269,2018-04-08T10:54:31Z,2018-04-09T08:55:04Z,2018-04-09T08:55:04Z,2,2,0,2,22.0092,0.917,16,8,11,18
sindresorhus/awesome,4003,Add Microsoft Agent Framework,webmaxru,CLOSED,https://github.com/sindresorhus/awesome/pull/4003,2026-03-13T21:20:17Z,,2026-04-21T08:38:28Z,1,1,0,1,923.3031,38.471,9005,11,2,10
sindresorhus/awesome,3912,Add Julia Security,bad-antics,CLOSED,https://github.com/sindresorhus/awesome/pull/3912,2026-01-31T21:37:58Z,,2026-04-01T17:33:40Z,1,1,0,1,1435.9283,59.8303,1022,10,3,7
sindresorhus/awesome,3732,Add DynamoDB,tysoncung,CLOSED,https://github.com/sindresorhus/awesome/pull/3732,2025-11-04T07:11:06Z,,2026-02-23T04:37:54Z,1,1,0,1,2661.4467,110.8936,4098,10,4,9
sindresorhus/awesome,3945,Add awesome-infrastructure to Back-End Development section,raya-ac,CLOSED,https://github.com/sindresorhus/awesome/pull/3945,2026-02-14T10:22:18Z,,2026-04-01T09:03:31Z,1,1,0,1,1102.6869,45.9453,8877,3,1,4
sindresorhus/awesome,2939,Add STEM Academy,tapyu,CLOSED,https://github.com/sindresorhus/awesome/pull/2939,2024-01-12T07:35:09Z,,2026-04-08T13:04:49Z,3,3,1,4,19613.4944,817.2289,9169,17,2,5
sindresorhus/awesome,4046,Add LOL / Commonly Abused,danzek,CLOSED,https://github.com/sindresorhus/awesome/pull/4046,2026-03-26T18:47:50Z,,2026-04-03T03:32:33Z,1,1,0,1,176.7453,7.3644,11701,12,1,5
sindresorhus/awesome,4014,Add Generative Engine Optimization (GEO),luka2chat,CLOSED,https://github.com/sindresorhus/awesome/pull/4014,2026-03-18T16:32:53Z,,2026-04-02T08:04:16Z,1,1,0,1,351.5231,14.6468,3209,7,3,6
sindresorhus/awesome,3998,Add Developer PKM,tahayigitmelek,CLOSED,https://github.com/sindresorhus/awesome/pull/3998,2026-03-11T21:24:40Z,,2026-04-02T07:27:26Z,1,1,0,1,514.0461,21.4186,9396,5,1,4
sindresorhus/awesome,4049,Add Hands-on Neuroscience,cYoren,CLOSED,https://github.com/sindresorhus/awesome/pull/4049,2026-03-29T15:55:24Z,,2026-03-29T21:39:27Z,1,1,0,1,5.7342,0.2389,1616,1,2,5
sindresorhus/awesome,4017,Add UniFi,wolffcatskyy,CLOSED,https://github.com/sindresorhus/awesome/pull/4017,2026-03-19T15:34:59Z,,2026-04-01T21:05:28Z,1,1,0,1,317.5081,13.2295,3716,4,3,6
sindresorhus/awesome,4040,Add CrowdSec,wolffcatskyy,CLOSED,https://github.com/sindresorhus/awesome/pull/4040,2026-03-25T00:19:37Z,,2026-04-01T21:04:42Z,1,1,0,1,188.7514,7.8646,1180,5,2,6
sindresorhus/awesome,4012,Add Raspberry Pi,erkcet,CLOSED,https://github.com/sindresorhus/awesome/pull/4012,2026-03-18T06:48:56Z,,2026-04-01T20:56:10Z,1,1,1,2,350.1206,14.5884,4065,3,2,5
sindresorhus/awesome,3999,Add Awesome n8n Templates to Platforms,enescingoz,CLOSED,https://github.com/sindresorhus/awesome/pull/3999,2026-03-12T18:29:39Z,,2026-04-01T20:53:52Z,1,1,0,1,482.4036,20.1002,1074,5,2,7
sindresorhus/awesome,3961,Add RSSHub Routes,JackyST0,CLOSED,https://github.com/sindresorhus/awesome/pull/3961,2026-02-24T05:37:28Z,,2026-04-01T20:52:44Z,1,1,0,1,879.2544,36.6356,1457,4,3,4
sindresorhus/awesome,3960,Add Webhooks,realadeel,CLOSED,https://github.com/sindresorhus/awesome/pull/3960,2026-02-23T11:03:27Z,,2026-04-01T20:51:56Z,1,2,0,2,897.8081,37.4087,1576,8,1,8
sindresorhus/awesome,3964,Add new link for Humane Technology,fdmarcin,CLOSED,https://github.com/sindresorhus/awesome/pull/3964,2026-02-25T12:11:07Z,,2026-04-01T18:11:37Z,1,1,1,2,846.0083,35.2503,8381,5,2,5
sindresorhus/awesome,3447,Add Alt Clouds,felixwidjaja,CLOSED,https://github.com/sindresorhus/awesome/pull/3447,2025-05-15T08:20:08Z,,2026-04-01T17:45:53Z,1,1,0,1,7713.4292,321.3929,9252,11,3,11
sindresorhus/awesome,3733,Add RISC-V,tansiret,CLOSED,https://github.com/sindresorhus/awesome/pull/3733,2025-11-04T14:29:54Z,,2026-04-01T16:21:15Z,1,1,0,1,3553.8558,148.0773,8929,7,4,9
sindresorhus/awesome,3788,Add Digital Nomad resource link to README,XxKaliCharanxX,CLOSED,https://github.com/sindresorhus/awesome/pull/3788,2025-11-25T18:03:52Z,,2026-04-01T15:22:22Z,1,1,0,1,3045.3083,126.8878,9126,5,8,11
sindresorhus/awesome,3991,Add AI Agents awesome list,hiSandog,CLOSED,https://github.com/sindresorhus/awesome/pull/3991,2026-03-08T13:28:03Z,,2026-04-01T15:21:57Z,1,1,0,1,577.8983,24.0791,67,4,1,5
sindresorhus/awesome,3927,Add HyperAgency agentic AI OS,alphara,CLOSED,https://github.com/sindresorhus/awesome/pull/3927,2026-02-05T14:35:06Z,,2026-04-01T09:36:16Z,1,1,0,1,1315.0194,54.7925,9158,4,3,5
sindresorhus/awesome,3861,Add MCP,YuzeHao2023,CLOSED,https://github.com/sindresorhus/awesome/pull/3861,2026-01-09T11:13:50Z,,2026-04-01T09:22:00Z,1,1,0,1,1966.1361,81.9223,8931,4,3,7
sindresorhus/awesome,3555,Add Software Diagrams,alixander,CLOSED,https://github.com/sindresorhus/awesome/pull/3555,2025-07-21T17:56:15Z,,2026-04-01T09:03:10Z,1,1,0,1,6087.1153,253.6298,9486,12,2,8
sindresorhus/awesome,3818,"Transit list: update link, add description",derhuerst,MERGED,https://github.com/sindresorhus/awesome/pull/3818,2025-12-16T14:58:13Z,2026-04-01T08:25:16Z,2026-04-01T08:25:16Z,1,1,1,2,2537.4508,105.7271,8583,16,5,9
sindresorhus/awesome,3804,Add x402,sriakula1,CLOSED,https://github.com/sindresorhus/awesome/pull/3804,2025-12-08T18:25:25Z,,2026-04-01T08:17:55Z,1,1,0,1,2725.875,113.5781,3644,8,8,8
sindresorhus/awesome,3503,Add cursorrules,PatrickJS,CLOSED,https://github.com/sindresorhus/awesome/pull/3503,2025-06-26T02:44:18Z,,2026-04-01T08:12:44Z,1,1,0,1,6701.4739,279.2281,8922,5,4,7
sindresorhus/awesome,3348,Add 0G,Gathin23,CLOSED,https://github.com/sindresorhus/awesome/pull/3348,2025-02-03T08:05:54Z,,2026-04-01T08:00:28Z,1,1,0,1,10127.9094,421.9962,8982,10,2,7
sindresorhus/awesome,3397,Add Ethical Hacking Roadmap,rodrigohenrik,CLOSED,https://github.com/sindresorhus/awesome/pull/3397,2025-04-10T13:49:58Z,,2026-04-01T07:50:14Z,1,14,13,27,8538.0044,355.7502,9195,4,5,7
sindresorhus/awesome,3511,Add Data Quality,e06084,CLOSED,https://github.com/sindresorhus/awesome/pull/3511,2025-06-28T03:37:10Z,,2026-03-31T20:29:23Z,1,1,0,1,6640.8703,276.7029,9516,4,1,4
sindresorhus/awesome,3641,Add some definition,Froilan-design,CLOSED,https://github.com/sindresorhus/awesome/pull/3641,2025-09-14T06:23:22Z,,2026-03-31T18:48:37Z,1,16,5,21,4764.4208,198.5175,8979,2,4,7
sindresorhus/awesome,4055,Add Wordlists,gmelodie,CLOSED,https://github.com/sindresorhus/awesome/pull/4055,2026-03-30T15:21:30Z,,2026-03-30T16:53:56Z,1,1,0,1,1.5406,0.0642,9290,1,1,3
sindresorhus/awesome,4001,Add Boat Tech from resources list,jeyrb,CLOSED,https://github.com/sindresorhus/awesome/pull/4001,2026-03-13T13:06:43Z,,2026-03-29T14:57:52Z,1,1,0,1,385.8525,16.0772,9089,3,1,4
sindresorhus/awesome,3957,Add Raspberry Pi,erkcet,CLOSED,https://github.com/sindresorhus/awesome/pull/3957,2026-02-22T21:02:05Z,,2026-03-18T06:47:54Z,1,1,1,2,561.7636,23.4068,1614,7,1,6
sindresorhus/awesome,3875,docs: Update outdated GitHub Actions version,pgoslatara,MERGED,https://github.com/sindresorhus/awesome/pull/3875,2026-01-14T15:52:13Z,2026-01-15T13:32:01Z,2026-01-15T13:32:01Z,1,1,1,2,21.6633,0.9026,134,0,2,4
sindresorhus/awesome,3621,Add Gemini CLI,bl-ue,MERGED,https://github.com/sindresorhus/awesome/pull/3621,2025-09-04T01:20:53Z,2025-10-28T15:32:56Z,2025-10-28T15:32:56Z,1,1,0,1,1310.2008,54.5917,8733,11,5,9
sindresorhus/awesome,3662,Add awesome-devops-platform - Platform Engineering resources,tysoncung,CLOSED,https://github.com/sindresorhus/awesome/pull/3662,2025-09-22T06:26:54Z,,2026-02-27T22:43:27Z,1,1,0,1,3808.2758,158.6782,1830,8,5,8
sindresorhus/awesome,3719,Add Vibe Coding,tysoncung,CLOSED,https://github.com/sindresorhus/awesome/pull/3719,2025-10-30T09:45:18Z,,2026-02-27T22:43:24Z,1,1,0,1,2892.9683,120.5403,1180,11,4,10
sindresorhus/awesome,3609,Add Cloud Projects,mzazon,CLOSED,https://github.com/sindresorhus/awesome/pull/3609,2025-08-25T01:09:11Z,,2025-10-28T15:29:11Z,1,1,0,1,1550.3333,64.5972,9075,3,5,7
sindresorhus/awesome,3781,Add Parquet,tysoncung,CLOSED,https://github.com/sindresorhus/awesome/pull/3781,2025-11-23T15:39:05Z,,2026-02-23T04:37:56Z,1,1,0,1,2196.9808,91.5409,2590,7,5,9
sindresorhus/awesome,2607,Add OpenID Connect,emmanuelgautier,MERGED,https://github.com/sindresorhus/awesome/pull/2607,2023-05-01T20:56:49Z,2025-11-09T09:55:31Z,2025-11-09T09:55:32Z,1,11,2,13,22140.9783,922.5408,9370,22,17,24
